2,4,6
48,77,125
187,73,260
11,97,108
99,112,211
70,102,172
46,2,48
92,189,281
23,7,30
86,22,108
170,189,359
17,32,49
0,152,152
69,200,269
1,105,106
176,96,272
106,60,166
65,168,233
196,122,318
91,161,252
81,7,88
175,126,301
125,163,288
119,71,190
175,90,265
124,125,249
111,52,163
36,85,121
50,150,200
39,74,113
76,160,236
189,53,242
110,64,174
0,114,114
17,94,111
48,194,242
155,172,327
69,174,243
177,57,234
106,167,273
153,49,202
13,153,166
180,25,205
24,140,164
5,93,98
54,55,109
74,178,252
159,11,170
135,97,232
183,182,365
142,75,217
134,50,184
136,37,173
80,40,120
134,108,242
144,188,332
87,135,222
7,6,13
134,106,240
182,77,259
172,114,286
62,164,226
193,168,361
59,37,96
136,148,284
47,170,217
61,118,179
108,148,256
97,13,110
59,109,168
151,196,347
95,39,134
21,179,200
165,52,217
110,67,177
40,87,127
85,22,107
91,65,156
42,28,70
151,150,301
121,198,319
109,151,260
88,25,113
116,173,289
13,172,185
155,175,330
104,14,118
72,86,158
145,18,163
116,25,141
179,97,276
141,178,319
149,134,283
70,59,129
72,190,262
130,77,207
171,172,343
99,49,148
26,5,31
104,62,166
149,22,171
36,60,96
138,123,261
137,65,202
102,104,206
131,157,288
107,100,207
172,178,350
105,103,208
49,50,99
33,103,136
40,94,134
95,5,100
125,72,197
4,128,132
196,200,396
197,161,358
183,167,350
22,46,68
75,175,250
117,113,230
123,33,156
92,42,134
63,177,240
97,41,138
179,38,217
108,30,138
196,8,204
153,192,345
114,109,223
166,114,280
5,20,25
32,87,119
63,192,255
46,64,110
168,32,200
13,180,193
40,107,147
37,136,173
45,23,68
123,135,258
89,74,163
152,13,165
41,65,106
33,57,90
73,16,89
80,81,161
97,108,205
47,126,173
112,128,240
62,116,178
153,161,314
149,172,321
117,172,289
125,7,132
39,89,128
37,11,48
42,60,102
67,65,132
67,198,265
146,39,185
198,183,381
179,27,206
0,10,10
0,156,156
75,142,217
3,132,135
180,173,353
173,43,216
109,116,225
66,103,169
118,58,176
108,72,180
141,93,234
174,66,240
22,162,184
172,12,184
111,161,272
45,194,239
147,50,197
165,173,338
50,32,82
147,105,252
173,122,295
92,99,191
27,93,120
99,137,236
41,74,115
140,101,241
118,86,204
88,164,252
182,154,336
71,119,190
0,139,139
124,72,196
12,182,194
33,42,75
56,186,242
75,14,89
117,80,197
